HIGHWAYTYPE, URBAN SPEED LIMIT, NON-URBAN SPEED LIMIT
motorway, 130, 130
motorway_link, 130, 130
trunk, 50, 100      
trunk_link, 50, 100           
primary, 50, 80          
primary_link, 50, 80      
secondary, 50, 80          
secondary_link, 50, 80      
tertiary, 50, 80          
tertiary_link, 50, 80
busway, 50, 80
unclassified, 50, 80      
residential, 50, 80          
living_street, 15, 15
